run_name,run_folder,predem,dem
111423-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231115_LH00150_0248_A22GCFYLT3,done,done
111623-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231116_LH00150_0249_A22GCVVLT3,done,done
111623-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231116_A02051_0254_AHTYG3DSX7,done,done
111723-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231117_LH00150_0250_A22GCF3LT3,done,done
111723-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231117_LH00150_0251_B22GCFVLT3,done,done
111723-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231117_A02051_0255_BHTYMKDSX7,done,done
111923-XP-fc2,/mnt/novaoutput/NovaSeqXP/20231119_LH00150_0252_B22GCFKLT3,done,done
111923-XP-fc1,/mnt/novaoutput/NovaSeqXP/20231119_LH00150_0253_A22G3WFLT3,done,done
111923-NS4-fc1,/mnt/novaoutput/NovaSeq/MyRun/231119_A02051_0257_AHTYC5DSX7,done,
111923-NS4-fc2,/mnt/novaoutput/NovaSeq/MyRun/231119_A02051_0256_BHTYGTDSX7,done,
112023-XP-fc1,/mnt/novaoutput2/NovaSeqXP/20231120_LH00150_0254_A22G33WLT3/,,
